"Faixa_Etária";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"85 a 89 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"519365";"614073";"597617";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1731055"
"90 anos e mais";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"243509";"294456";"279780";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"817745"
"Gestantes 10 a 11 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3910";"10262";"12535";"6826";"5030";"3612";"2915";"161";"45251"
"Gestantes 12 a 14 anos";"1821802";"2401343";"2140660";"0";"0";"0";"326279";"284659";"293142";"255904";"186678";"189909";"162720";"158151";"147795";"135278";"134390";"133087";"134801";"229260";"155529";"108047";"33844";"25254";"13855";"8493";"0";"9480880"
"Gestantes 15 a 49 anos";"48817";"80794";"377268";"2943539";"3224607";"3520478";"3197883";"3229484";"3220155";"3180099";"2997542";"3145433";"3033436";"2985990";"2883488";"2755909";"2734242";"2816639";"2766236";"5207426";"4323702";"3774320";"1674241";"1818065";"2248065";"2279628";"1414562";"71882048"
"Não gestantes 12 a 14 anos";"2284026";"2813303";"1994601";"0";"0";"0";"560868";"780451";"1256263";"1101718";"696757";"729158";"602154";"8969686";"535051";"451375";"454336";"409446";"394837";"851949";"906918";"601399";"244168";"191719";"103598";"44744";"0";"26978525"
"Não gestantes 12 a 49 anos";"0";"901147";"142601";"0";"0";"0";"772926";"0";"0";"0";"2504";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1819178"
"Não gestantes 15 a 49 anos";"131086";"192358";"459483";"2493070";"2796122";"3852502";"3585585";"4287049";"5645922";"5494220";"3549444";"3909603";"3473273";"3754913";"4119222";"3133776";"3637482";"3364077";"3379432";"8861571";"10056389";"10348214";"5235563";"8461249";"8214598";"9375272";"6435097";"128246572"
"Homens 12 a 14 anos";"1604989";"2996938";"3136465";"4317109";"5592763";"14660408";"3191022";"768706";"744818";"596148";"453427";"495260";"420779";"456622";"455094";"399391";"399894";"361289";"348118";"0";"7";"174";"0";"0";"0";"0";"0";"41399421"
"Homens 12 a 49 anos";"0";"0";"0";"182308";"215053";"552946";"643990";"1264400";"1223587";"774088";"732566";"952721";"1205104";"4305547";"227513";"9506";"6892";"16470";"4796";"0";"0";"0";"0";"0";"0";"0";"0";"12317487"
"Homens 15 a 49 anos";"196";"29";"408958";"0";"0";"0";"3520573";"4226263";"4436149";"4578155";"4212143";"4643515";"4393694";"4885482";"5577991";"4170709";"4729423";"4403781";"4407047";"0";"5992";"129721";"383147";"0";"0";"0";"0";"59112968"
"Sem discriminação de idade";"32167";"56908";"56707";"83949";"90484";"101455";"101849";"26893";"1124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"551536"
"Ignorado";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"415";"59338";"13239";"11958";"7506";"92456"
"Total";"30785276";"56060350";"59435996";"100046550";"118174836";"161710888";"181268791";"180526492";"163354130";"141409805";"158177735";"139121507";"130040513";"148224555";"212959507";"142441165";"138158979";"108461386";"116660336";"156331692";"128108518";"115951150";"92905422";"120353622";"112918953";"108886698";"81247515";"3403722367"
